"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","individualCount","monthIdentified","fieldNumber","dayIdentified","relatedCatalogItem"
"1","2020-09-23 10:41:04-03","E","E","50229","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","Dubs, B.","1222","1991","10","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:57015","<a href=http://data.rbge.org.uk/herb/E00050229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:04-03","E","E","46864","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","Dubs, B.","1228","1991","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:54345","<a href=http://data.rbge.org.uk/herb/E00046864 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","590491","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","M. Kuhlmann","2728",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590491","Magnoliophyta","Gentianales","Progel","São Paulo","Sao Paulo","Jardim Botânico","-46.618358","-23.646109","NY00590491_01 NY00590491_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","590634","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","G. G. Hatschbach","35591","1974","12","10","South America","Brazil","separate fruit",NA,"Carpoteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590634","Magnoliophyta","Gentianales","Progel","Paraná",NA,"Rio Putuna",NA,NA,"NY00590634_01 NY00590634_02 NY00590634_03 NY00590634_04","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590499","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","R. P. Belém","3788","1968","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590499","Magnoliophyta","Gentianales","Progel","Minas Gerais","Teófilo Otoni","Fazenda S. Marco","-41.5053","-17.8578","NY00590499_01 NY00590499_02","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","590489","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","G. G. Hatschbach","39989","1977","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590489","Magnoliophyta","Gentianales","Progel","Paraná","Cerro Azul","Morro Grande","-49.2608","-24.8236","NY00590489_01 NY00590489_02","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","945011","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","W. R. Anderson","9228","1973","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945011","Magnoliophyta","Gentianales","Progel","Minas Gerais",NA,"15 km by road W of Januária on road to Serra das Araras","-44.46555","-15.57915","NY00945011_01",NA,"575","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","590498","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","F. C. Hoehne","s.n.","1924","12","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590498","Magnoliophyta","Gentianales","Progel","São Paulo",NA,"Entre Pirapora e Cabreúva",NA,NA,"NY00590498_01 NY00590498_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","590494","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","L. Emygdio de Mello Filho","537","1946","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590494","Magnoliophyta","Gentianales","Progel","Rio de Janeiro",NA,"Serra do Andaraí",NA,NA,"NY00590494_01","B. A. Krukoff; J. V. Monachino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","886350","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","nigricans","Strychnos nigricans","T. Sendulsky","s.n.",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886350","Magnoliophyta","Gentianales","Progel","São Paulo",NA,NA,NA,NA,"NY00886350_01","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
