"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","590551","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","R. M. Harley","27024","1988","11","28","South America","Brazil","Bahia","Paramirim","Rio Paramirim, 4km da cidade na estrada para Agua Quente","-42.22","-13.43","640","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590551","NY00590551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03485184","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","A. Fuentes","2293","1998","02","12","South America","Bolivia","Santa Cruz","Cordillera","Parque Nacional Kaa-Iya del Gran Chaco, Paleodunas 25 km. al NE de Palmar de las Islas.","-60.425","-19.2608","270",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3753982' target='other'> <mi>dwc_moreinfo</mi></a>","NY03485184",NA,"R. B. Setubal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","945099","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","H. S. Irwin","23152","1969","02","12","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 10 km N.E. of Francisco Sá, on road to Salinas","-43.4069","-16.4643","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945099","NY00945099_01 NY00945099_02","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","590561","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","J. C. Lindeman","4497","1996","01","26","South America","Brazil","Paraná","Campo Mourao","3km N of campo Mourao","-52.3831","-24.0458",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590561","NY00590561_01 NY00590561_02","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590556","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","R. M. Harley","27024","1988","11","28","South America","Brazil","Bahia","Paramirim","4km da cidade na estrada para Agua Quente","-42.22","-13.43","640","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590556","NY00590556_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","590623","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","R. de Lemos Fróes","12675/41","1942","11","10","South America","Brazil","Bahia","Itambé","Sapucaia. Basin of Rio Pardo","-40.6242","-15.245",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590623","NY00590623_01","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","945273","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","G. G. Hatschbach","20402",NA,NA,NA,"South America","Brazil","Paraná","Jaguariaíva","Fda Chapada S. Antonio.","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945273","NY00945273_01 NY00945273_02 NY00945273_03","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","945101","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","G. T. Prance","18828","1973","10","12","South America","Brazil","Mato Grosso",NA,"Chapada dos Guimarães, just above Cachoeira Furada, Reserva Buriti","-55.8147419","-15.45169","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945101","NY00945101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","590559","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","L. Riedel","549",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590559","NY00590559_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590562","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","rubiginosa","Strychnos rubiginosa","A.DC.","C. M. Christenson","1174","1979","09","16","South America","Brazil","Mato Grosso","Chapada dos Guimaraes",NA,"-55.7494","-15.4608",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590562","NY00590562_01","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
