"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","class","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","565538","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.Mattos","C. A. Stace","W. W. Thomas","8710","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565538","NY00565538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02155025","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.Mattos",NA,"C. A. Cid Ferreira","8115","1986","09","13","South America","Brazil","Amazonas","Presidente Figueiredo","Rio Uatumã, a montante da barragem de Balbina.","-58.7269878","-2.3065914","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310667' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155025","NY02155025_01 NY02155025_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-03 10:46:02-03","EBDA","BAH","7852","S","Plantae",NA,NA,"Euphorbiaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F. Mattos","T.S. dos Santos","T.S. dos Santos","4371","1988","07","25",NA,"Brasil","Bahia","Belmonte","Barrolândia. Estação experimental Gregório Bondar (EGREB). Km 47 da Rodovia Itapebi/Belmonte, 7km após o povoado de Barrolândia.","-38.8828","-15.8631",NA,"Arvorezinha, 7m de altura. Estéril.",NA,NA,"71281","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:13:08-03","UFBA","ALCB","032341","PreservedSpecimen","Plantae","Dicotyledon",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.Mattos","Marquete, N","Guedes, ML; Fonseca, MR","5468","1997","11","29","Southern America","Brasil","Bahia","Prado","Pai Inácio.","-39.183333","-17.266667",NA,"Ca. 6m.; folhas simples, discolores, coriáceas.","ALCB055295",NA,NA,NA,"2002","-39.183333","-17.266667",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:28:25-03","UNICAMP","UEC","188945","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","Mattos",NA,"Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD","252","2015","02","10",NA,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.989444","-24.0625",NA,"Árvore, 9 m de altura e 7,6 cm de DAP; Floresta Ombrófila Densa","UEC119389","UEC119389",NA,NA,NA,"-47.989444","-24.0625","800","800",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:28:25-03","UNICAMP","UEC","183923","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","Mattos","Marquete, N","Assis, MA","96","1993","01","14",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, trilha defronte o Núcleo.","-45.0699996948242","-23.4300003051758",NA,"árvore 11m, beira do mangue próximo à casa; frutos verdes imaturos; mangue","UEC106009","UEC106009","34265","auto","2001",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA
"7","2021-03-01 16:28:25-03","UNICAMP","UEC","183922","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","Mattos","Marcondes-Ferreira, W","Ribeiro, JELS; et al.","632","1989","06","17",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, trilha do Morro do Corsário","-45.0699996948242","-23.4300003051758",NA,"árvore 14m, frutos verdes, pêndulos","UEC106007","UEC106007","34265","auto","2001",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA
"8","2021-04-05 11:05:57-03","UNESP-IBB","BOTUW","278","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N. F. Mattos",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW000278",NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:30:03-03","UFRRJ","RBR","37409","S","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos","T.A. Amorim","I.A. Silva","226","1980","12","15",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Linhares, Espírito Santo. Est. 221, Km4, 653 lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00037409","RBR00037409","48094","auto","2018",NA,NA,NA,NA,"08","14","Isotipo",NA,NA,NA
"10","2020-12-21 16:21:04-03","MBM","MBM","238019","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N. Mattos","Stace, C.A.","Cid Ferreira, C.A.","8115","1986","09","12","Southern America","Brazil","Amazonas","Presidente Figueiredo","Rio Uatumã","-60.0250015258789","-2.03444004058838",NA,NA,"MBM238019","MBM238019","229398","auto","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
