"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","individualCount","dayIdentified","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1183539","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","K. Kubitzki","R. M. Harley","15943","1974","02","04","South America","Brazil","Bahia","Serra do Sincorá. By Rio Cumbuca ca. 3 km S of Mucugé, near site of small dam on road to Cascavel.","-41.35","-13.02","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183539","NY01183539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684853","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","2473","1993","11","12","South America","Brazil","Bahia","Serra dos Frios","-41.88","-13.33","1700","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684853","NY00684853_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684851","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","2826","1994","01","20","South America","Brazil","Bahia","Serra do Sumbaré-Guarda Mor.","-41.85","-13.3","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684851","NY00684851_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03181012","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra",NA,"R. M. Harley","20821","1980","03","23","South America","Brazil","Bahia","Serra do Sincorá. W. of Barra da Estiva on the road to Jussiape","-41.42","-13.67","1000","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3433522' target='other'> <mi>dwc_moreinfo</mi></a>","NY03181012","NY03181012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081163","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","K. Kubitzki","R. M. Harley","15572","1974","01","28","South America","Brazil","Bahia","Serra do Sincorá. ca. 6km N. of Barra da Estiva on Ibicoara road.","-41.3","-13.58","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220878' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081163","NY01081163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684852","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","1953","1993","07","25","South America","Brazil","Bahia","Garimpo das Almas (Cristal)","-42.33","-13.9","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684852","NY00684852_01","Rio do Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","684850","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","2105","1993","08","25","South America","Brazil","Bahia","Encosta da serra dos Frios, Água Limpa.","-42.32","-13.87","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684850","NY00684850_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","684849","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","3580","1994","07","18","South America","Brazil","Bahia","Bem-Querer - Garimpo da CIA.","-41.88","-13.28","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684849","NY00684849_01 NY00684849_02","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684854","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","D. C. Zappi","W. Ganev","2405","1993","11","03","South America","Brazil","Bahia","Guarda-Mor, caminho Guarda-Mor-Serrinha-Catolés.","-41.85","-13.32","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684854","NY00684854_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 15:45:13-03","UNEB","HUNEB","10540","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia",NA,NA,"Guedes, M.L.","ALCB 75570","2006","12","09",NA,"Brasil","Bahia","Chapada Diamantina, Cidade das Pedras.","-41.018056","-11.671667",NA,NA,NA,NA,"HUNEB0010540",NA,"Morro do Chapéu","Dicotyledoneae","41W1'5''","11S40'18''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:22:25-03","UFBA","ALCB","40244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Gasson, P; Harley, RM; Nic Lughadha, E; França, F","PCD5932","1997","03","02","Southern America","Brasil","Bahia","Piemonte da Diamantina","-41","-11","1151","1151",NA,"ca. 6 m. Folhas coriáceas. Cálice amarelo a vermelho. Fruto maduro verde-amarelado, deiscente circunciso; sementes com testa vermelha.",NA,NA,"Morro do Chapéu",NA,"-41","-11","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:22:25-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Atkins, S; Saar, E; Passos Júnior, LA; Guedes, ML; Stannard, B","PCD4826","1997","02","01","Southern America","Brasil","Bahia","Chapada Diamantina, Caminho para a Cachoeira do Fraga","-41","-13","1000","1000",NA,"3,00 m.",NA,NA,"Rio de Contas",NA,"-41","-13","1997","02",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:22:25-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Giulietti, AM","Stam, G; Giulietti, AM; Bautista, HP","PCD923","1994","09","27","Southern America","Brasil","Bahia","Chapada Diamantina, Serra da Chapadinha, próximo a cidade","-41","-12","810","810",NA,"2,00 m.; Campo rupestre com predomínio de arbustos. Afloramento rochoso de arenito.",NA,NA,"Lençóis",NA,"-41","-12","1994","09",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 21:32:50-03","UFBA","ALCB","02761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Maz, WH","Andrade-Lima, D","s/n","1970","10","26","Southern America","Brasil","Bahia","Serra do Morro do Chapéu.","-41.001111","-11.628056",NA,NA,NA,"Em carrasco alto.",NA,NA,NA,NA,"-41.001111","-11.628056","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:22:25-03","UFBA","ALCB","75570","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Rigueira, D; Alunos de Botânica III","12950","2006","12","09","Southern America","Brasil","Bahia","Piemonte da Diamantina, Cidade das Pedras","-41.018056","-11.671667",NA,NA,NA,"Folhas discolores, glabras. Fruto imaturo verde-vináceo.",NA,NA,"Morro do Chapéu",NA,"-41.018056","-11.671667","2007","01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:22:25-03","UFBA","ALCB","037783","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Roque, N; Bautista, HP; Hind, DJN; Harley, RM","PCD&nf;4511","1996","11","19","Southern America","Brasil","Bahia","Chapada Diamantina, Serra do Tombador","-41.799722","-13.634167","1380","1380",NA,"até 80 cm, ramificado. Folhas coriáceas, face abaxial verde-claro, adaxial verde-escuro. Brácteas verde-vináceas, botões verde-amarelados. Frequente no topo da serra.; Transição Caatinga - Campo Rupestre",NA,NA,"Rio de Contas",NA,"-41.799722","-13.634167","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:22:25-03","UFBA","ALCB","040195","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Giulietti, AM; Funch, L","PCD1597","1995","02","06","Southern America","Brasil","Bahia","Chapada Diamantina, Serra da Chapadinha, ao longo do córrego Chapadinha","-41.418611","-12.450833","600","600",NA,"8,0 m, casca lisa avermelhada, base com 20 cm de diâmetro. Folhas simples. Flores com cálice verde-amarelado. Frutos voltados para o chão, cválice persistente, verde-amarelado, permanecendo com 4 sementes ao cair; pericarpo amargo. Ocasional.; Mata c",NA,NA,"Lençóis",NA,"-41.418611","-12.450833","1997","12",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:22:25-03","UFBA","ALCB","102236","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML; Marciel, L","Guedes, ML; Maciel, L; Alunos de Botânica III","19214","2011","10","22","Southern America","Brasil","Bahia","Piemonte da Diamantina, Caminho para o Morrão","-41.15","-11.55",NA,NA,NA,"de ca 1,8 m . Folhas coriáceas, discolores, congestas no ápice dos ramos, lâmina eliptica a obovada. Flores axilares, cálice algumas vezes tingido de rosa a vermelho, persistente no fruto; corola com pétalas imbricadas, branco-esverdeadas.",NA,NA,"Morro do Chapéu",NA,"-41.15","-11.55","2011","11",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:22:25-03","UFBA","ALCB","40250","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4278","1996","11","15","Southern America","Brasil","Bahia","Chapada Diamantina, Sopé do Pico do Itobira","-41.888333","-13.3675","1540","1540",NA,"ca. 5,0 m alt. Folhas coriáceas, discolores, face inferior verde-amarelada, com pontuações escuras, face superior verde-brilhante, nervura mediana amarelada e impressa. Frutos imaturos verde, protegidos pelo perianto. Raro.",NA,NA,"Rio de Contas",NA,"-41.888333","-13.3675","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:22:25-03","UFBA","ALCB","42765","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML; Stradmann, MTS","Stradmann, MTS; Poveda, A; Gomes, DF","0126","1995","03","03","Southern America","Brasil","Bahia","Chapada Diamantina, Rio Ribeirão, Ribeirão do Meio","-41.45","-12.466667",NA,NA,NA,"Terrestre, ca. 4,30 m. Folhas crassas, disc¢lores. Flores vistosas cremes. Frequente.#?#; Mata ciliar, de 15 a 20 m de largura, limitada por paredões rochosos, higrófila. Sub comunidade montana. Solo arenoso, com humos, associado aos afloramentos rocho",NA,NA,"Lençóis",NA,"-41.45","-12.466667","1997","06",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-10-09 11:22:25-03","UFBA","ALCB","55353","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Ribeiro, T; Bautista, HP; Jesus, NG de; Tourinho, R","103","2001","04","04","Southern America","Brasil","Bahia","Piemonte da Diamantina, Serra das Sete Passagens, Parque Estadual das sete Passagens, próximo à sede do parque.","-40.535556","-11.388333","1040","1040",NA,"ca. 8,0 m. Folhas crassas, ascendentes, face abaxial amarelada. Frutos verde-amarelo-avermelhados; sementes vermelhas (3) com arilo branco. Latossolo pedregoso, em pontos com solo litólico onde surgem associações de espécies do campo.",NA,NA,"Miguel Calmon",NA,"-40.535556","-11.388333","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:22:25-03","UFBA","ALCB","55860","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Sano, PT; Laessoe, T","Sano, PT; Laessoe, T","50992","1992","03","02","Southern America","Brasil","Bahia","Mata da Pedra Grande.","-41.9","-13.25","1550","1550",NA,"C. 2m alt. Cálice vermelho ou amarelado. Frutos maduros amarelo-esverdeados. No interior da mata com 6m alt.; Orla e interior da mata entre rochas.",NA,NA,NA,NA,"-41.9","-13.25","1992","03",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:22:25-03","UFBA","ALCB","59961","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Loureiro, DM; Nascimento, AFS; Guaré, F; et al.","9940","2002","05","04","Southern America","Brasil","Bahia","Chapada Diamantina, Caminho para Paty, Margens do caminho.","-41.316667","-12.8",NA,NA,NA,"Folha obovada, base cuneada, coriácea, verde intenso. Flores axilares, róseas. Fruto jovem.; rupícola",NA,NA,"Andaraí",NA,"-41.316667","-12.8","2003","01",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:22:25-03","UFBA","ALCB","67801","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Alunos de Botânica III; Alunos de Botânica III; P04","s/n","2004","09","03","Southern America","Brasil","Bahia","Piemonte da Diamantina","-41.15","-11.55",NA,NA,NA,"Folhas obovada, base cuneada, coriácea. Frutos globosos, apiculados, cálice persistente.",NA,NA,"Morro do Chapéu",NA,"-41.15","-11.55","2005","03",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:22:25-03","UFBA","ALCB","72625","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Roque, N; Alunos de Botânica III","1328","2006","01","21","Southern America","Brasil","Bahia","Piemonte da Diamantina, Trilha cachoeira do Ferro Doido à Vila do Ventura","-41.002222","-11.638611","876","876",NA,"ca. 3m alt.; flores discolores, frutos verde-vináceos.",NA,NA,"Morro do Chapéu",NA,"-41.002222","-11.638611","2006","05",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:22:25-03","UFBA","ALCB","74187","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Valadão, RM; Carvalho, G; Santos, JS; Sousa, DC de; Nogueira, T; Guedes, ML","133","2006","06","16","Southern America","Brasil","Bahia","Piemonte da Diamantina, Sete Passagens, Trilha do Dandá","-40.516667","-11.333333",NA,NA,NA,"de ca 3m. Folhas crassas, discolores com a face abaxial verde claro. Botões e flores com cálice verde e pétalas rosadas. Freqüente.",NA,NA,"Miguel Calmon",NA,"-40.516667","-11.333333","2006","10",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:22:25-03","UFBA","ALCB","74618","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Guedes, ML; Rigueira, D; Oliveira, D; Estagiários; Alunos de Botânica III; Alunos de Botâni","12500","2006","10","13","Southern America","Brasil","Bahia","Chapada Diamantina, Fazenda Beija Flor","-41.766667","-13.15",NA,NA,NA,"de ca 4m. Folhas carnosas, discolores. Flor isolada . Frutos imaturos verdes, cálice persistente. Ocasional.",NA,NA,"Piatã",NA,"-41.766667","-13.15","2008","10",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:22:25-03","UFBA","ALCB","75793","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Santos, JS; Valadão, RM; Carvalho, G","13148","2006","12","22","Southern America","Brasil","Bahia","Piemonte da Diamantina, Entorno do Parque Sete Passagens. Ponto 224","-40.534444","-11.348611","814","814",NA,"de ca. 4 m de alt. Folhas cartáceas, discolores. Frutos imaturos verdes.",NA,NA,"Miguel Calmon",NA,"-40.534444","-11.348611","2007","02",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:22:25-03","UFBA","ALCB","78110","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","13323","2007","05","01","Southern America","Brasil","Bahia","Chapada Diamantina","-41.333333","-12.983333",NA,NA,NA,"de ca 1,80m. Folhas crassas, com nervura inconspícua e a central vináceas.",NA,NA,"Mucugê",NA,"-41.333333","-12.983333","2007","05",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:22:25-03","UFBA","ALCB","93423","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Gomes, FS; Guedes, ML; Lisboa, MS; et al.","566","2010","01","27","Southern America","Brasil","Bahia","Chapada Diamantina, atrás de cemitério Bizantino","-41.374722","-13.006667","1073","1073",NA,"de ca 1,80 m de altura. Folhas semicrassas, discolores, margem avermelhadas. Botões róseos. Frutos cápsulas. Sementes com arilo vermelho.",NA,NA,"Mucugê",NA,"-41.374722","-13.006667","2010","01",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:22:25-03","UFBA","ALCB","97394","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Alunos de Botânica III; Estagiários","17696","2010","09","25","Southern America","Brasil","Bahia","Chapada Diamantina, Morro do Ouro","-41.3","-13.583333",NA,NA,NA,"de ca 2,5 m. Folhas obovada, com ápice arredondado, base cuneada, coriácea, discolores, glabras, margem mais ou menos inteira, usualmente recurvada. Flores em botões.",NA,NA,"Barra da Estiva",NA,"-41.3","-13.583333","2010","11",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:22:25-03","UFBA","ALCB","80790","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Guedes, ML","Guedes, ML; Valadão, RM; Gomes, FS; Alunos de Botânica III","13841","2007","10","13","Southern America","Brasil","Bahia","Chapada Diamantina, Caminho para a Cachoeira do Buração","-1.160556","-13.325556","957","957",NA,"de ca 2 m de altura. Folhas cartáceas, discolores. Frutos amarelos com cálice vináceos. Sementes com arilo vermelho. Ocasional.",NA,NA,"Ibicoara",NA,"-1.160556","-13.325556","2007","10",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:22:25-03","UFBA","ALCB","02761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","São-Mateus, WMB","Andrade-Lima, D","s/n","1970","10","26","Southern America","Brasil","Bahia","Piemonte da Diamantina, Serra do Morro do Chapeu","-41.1561012268066","-11.5500001907349",NA,NA,NA,"Carrasco alto.",NA,NA,"Morro do Chapéu",NA,NA,NA,"2008","10","98143","auto",NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:05:10-03","NBC","NL-BOTANY","U 0283513","PreservedSpecimen","Plantae",NA,"Ericales","Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra",NA,"Harley RM; Renvoize SA; Erskine CM; Brighton CA; Pinheiro R",NA,"1974","02","04","Southern America","Brazil","Bahia","By Rio Cumbuca ca 3km S of Mucuge, near site of small dam in road to Cascavel.","-41.35","-13.016667",NA,NA,NA,"Riverside, damp sandy soil, sandstone rocks and partly burnt-over vegetation.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200283513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0283513",NA,NA,"Magnoliopsidae","-41.35","-13.016667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:05:10-03","NBC","NL-BOTANY","L.4317859","PreservedSpecimen","Plantae",NA,"Ericales","Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra",NA,"Harley RM",NA,"1980","06","01","Southern America","Brazil","Bahia","Morro do Chapeu.","-41.283333","-11.633333",NA,NA,NA,"Open scrubby 'campos gerais' vegetation.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4317859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4317859","NL-L4317859",NA,"Magnoliopsidae","-41.283333","-11.633333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:05:10-03","NBC","NL-BOTANY","U 0283512","PreservedSpecimen","Plantae",NA,"Ericales","Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra",NA,"Harley RM; Renvoize SA; Erskine CM; Brighton CA; Pinheiro R",NA,"1974","01","28","Southern America","Brazil","Bahia","On Ibicoara road.","-41.3","-13.583333",NA,NA,NA,"Grassland with low shrubs and scattered woodland.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200283512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0283512",NA,NA,"Magnoliopsidae","-41.3","-13.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 12:17:56-03","ESALQ","ESA","91269","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Pentaphylacaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Vieira, J.A.","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Tsuji, R.","5628.0","2005","02","07",NA,"Brasil","Minas Gerais","Estrada entre Pedra Azul e Jequitinhonha, ca. 47km de Pedra Azul. Cerrado","-41.09",NA,"1080","1080",NA,"Arvoreta, até ca. 3,5m alt. Flores alvas","ESA091269","ESA091269","Jequitinhonha",NA,"-41.09","-16,339,167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-02-15 11:51:16-02","IPA","IPA","23534","S","Plantae","Plantae",NA,"Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Kubitzki, K.","Harley, R.M.","15572","1974","01","28","Southern America","Brasil","Bahia","Serra do Sincorá, ca. 6 km N of Barra da Estiva on Ibicoara road.","-41.3","-13.583333","1100","1100",NA,"Tree to 5m. Leaves coriaceous, dark green above, paler beneath. Fruit green tinged red, on deflexed pedicels, calix reddish.; Grassland with low shrubs and scattered woodland.","IPA0023534",NA,NA,NA,"-41.3","-13.583333","1975","04",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-02-15 11:51:16-02","IPA","IPA","23509","S","Plantae","Plantae",NA,"Theaceae","Ternstroemia","alnifolia","Ternstroemia alnifolia","Wawra","Kubitzki, K.","Harley, R.M.","15943","1974","02","04","Southern America","Brasil","Bahia","Serra do Sincorá, by Rio Cumbuca ca. 3km S of Mucugê, near site of small dam on road to Cascavel.","-41.35","-13.016667","850","850",NA,"Spreading tree to 5m high. Leaves coriaceous dark green above, paler beneath. Fruit green, spherical.; Riverside, damp sandy soil, sandstone rocks and partly burnt-over vegetation.","IPA0023509",NA,NA,NA,"-41.35","-13.016667","1975","04",NA,NA,NA,NA,NA,NA,NA,NA
