"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","337505","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.","type","Martii Herbar. Florae Brasil.","1278","South America","Brazil","Rio Doce","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00337505","NY00337505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:58-03","EAO","IAN","22219","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Salacia","martiana","Salacia martiana","Peyr.",NA,"Martins-da-Silva, RCV","1278","Southern America","Brasil",NA,NA,NA,"IAN022219","IAN022219_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:58:05-03","NBC","NL-BOTANY","L.1133889","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Salacia","martiana","Salacia martiana","(Miers) Peyr.",NA,"Ule EHG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1133889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1133889","NL-L1133889","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:58:17-03","NBC","NL-BOTANY","L 0329739","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.","isotype","Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200329739 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0329739","NL-L0329739","Magnoliopsidae","Lombardi JA","1998","11","01","899175363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:58:17-03","NBC","NL-BOTANY","L 0329746","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.","isotype","Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200329746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0329746","NL-L0329746","Magnoliopsidae","Lombardi JA","1998","11","01","90922784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:58:17-03","NBC","NL-BOTANY","U.1198889","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.",NA,"Prance GT; et al.",NA,"Southern America","Brazil","Brazilian Amazonia. State of Amazonas. Manaus-Porto-VElho Highway. BR 310 km 510 Manaus-Porto VElho Road, 6 km North of Rio Purusinho.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1198889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1198889","NL-U1198889","Magnoliopsidae",NA,NA,NA,NA,NA,"1974","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:58:17-03","NBC","NL-BOTANY","U.1198890","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.",NA,"Prance GT; et al.",NA,"Southern America","Brazil","Brazilian Amazonia. State of PAra. Br 163, Cuiaba-Santarem Highway. BR 163, km 1133, vicinity of Igarape NAtal.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1198890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1198890","NL-U1198890","Magnoliopsidae",NA,NA,NA,NA,NA,"1977","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:31:50-03","UNICAMP","UEC","148865","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.",NA,"Aranha, BA","496",NA,"Brazil","Fazenda Capricórnio Parcela J, 380msm.",NA,"Indivíduo regenerante no subosque.","UEC068891","UEC068891",NA,"Lombardi, JA","2008","10",NA,NA,"2007","01","14","São Paulo","Ubatuba","-45.084167","-23.366389","-45.084167","-23.366389",NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:15:51-03","UNICAMP","UEC","168611","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.",NA,"Melis, JV","54",NA,"Brazil","Fazenda Capricórnio, Parcela J. Subparcela 11.",NA,NA,"UEC035383","UEC035383",NA,"Lombardi, JA","2008","01",NA,NA,"2006","08","23","São Paulo","Ubatuba","-45.084167","-23.365556","-45.084167","-23.365556","358","395",NA,NA,NA,NA
"10","2014-10-14 15:56:29-03","BS","M","M-0111121","S","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","martiana","Tontelea martiana","(Miers) A.C.Sm.","NOTATYPE","Martius, C.F.P. von",NA,NA,"Brasil",NA,NA,NA,"M0111121",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
