"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","408381","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","R. P. Belém","3650","1968","05","25","South America","Brazil","Bahia","Encruzilhada","Encruzilhada, saída para Divisópolis","-40.9092","-15.5317","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408381","NY00408381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408373","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"T. D. Pennington","10169","1978","03","02","South America","Brazil","Bahia","Itabuna","Road (BR415) from Itabuna to Vitoria da Conquista, 19 km from junction with BR101","-39.2803","-14.7858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408373","NY00408373_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","408392","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","R. M. Harley","25291","1988","10","22","South America","Brazil","Bahia",NA,"Livramento do Brumado. Arredores da cidade, na beira da estrada para Rio de Contas.","-41.83","-13.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408392","NY00408392_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","408375","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","T. S. dos Santos","2128","1971","11","12","South America","Brazil","Bahia",NA,"Rod. Itaimbé 3 a 4 Itamari",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408375","NY00408375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408395","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","S. A. Mori","S. A. Mori","11190","1978","11","19","South America","Brazil","Bahia","Jequié","Ca. 3 km a W de Jequié. Folha SD-24 (14-40)","-40.0833","-13.8578","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408395","NY00408395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","408371","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"T. D. Pennington","10174","1978","03","03","South America","Brazil","Bahia","Itambé","Road from Itapetinga to Vitoria da Conquista (BR415) km 10","-40.6242","-15.245","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408371","NY00408371_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837071","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837071","NY00837071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","408383","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","R. M. Harley","26984","1988","11","23","South America","Brazil","Bahia",NA,"Livramento do Brumado. 4 km da cidade na estrada para Rio de Contas","-41.83","-13.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408383","NY00408383_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","408382","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","W. R. Anderson","36974","1972","03","15","South America","Brazil","Bahia","Cocos","Ca. 13 km S of Cocos and 3 km S of the Rio Itaguarí","-44.53","-14.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408382","NY00408382_01","560","560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","408391","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T. D. Pennington","T. S. dos Santos","444","1969","10","23","South America","Brazil","Bahia","Itaju do Colônia","A 12 km da estrada em direçao a Feirinha ao lado W. Margem esquerda do rio Corro","-39.7242","-15.1425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408391","NY00408391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
