"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","locality","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","3544","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","Vanilde Citadini-Zanette","1995","01","02","R. dos Santos; M. Sobral","1994","10","08","Brasil","Santa Catarina","Maracajá","-49.454444","-28.8475","49º27'16''W","28º50'51''S","CRI003904","CRI003904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","3747","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","Marcos Sobral",NA,NA,NA,"V. Boff","1995","07","27","Brasil","Santa Catarina","Imbituba","-48.668889","-28.2275","48º40'8''W","28º13'39''S","CRI003903","CRI003903","38","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:29-03","UNESC","CRI","226","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,"-",NA,NA,NA,NA,"CRI003906","CRI003906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:29-03","UNESC","CRI","3491","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","1994","04","10","Brasil","Santa Catarina","Laguna","-48.766667","-28.466667","48º46'W","28º28'S","CRI003901","CRI003901",NA,NA,"30","Estarada de acesso a Praia da Tereza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:29-03","UNESC","CRI","203","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","semitriloba","Triumfetta semitriloba","Jacq.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI007587","CRI007587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:29-03","UNESC","CRI","11819","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","semitriloba","Triumfetta semitriloba","Jacq.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","-49.389167","-28.188889","49º23'21''W","28º11'20''S","CRI003940","CRI003940","502","502",NA,"Parque Estadual Serra Furada.","Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:29-03","UNESC","CRI","12480","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","semitriloba","Triumfetta semitriloba","Jacq.","Renato Colares & Aline V. Guislon","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010687",NA,NA,NA,NA,"Praia do Estaleiro.","Coleta 73. Habito: Subarbusto","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","628974","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","L. B. Smith",NA,NA,NA,"R. M. Klein","1953","04","02","Brazil","Santa Catarina","Anitápolis","-49.128424","-27.903779",NA,NA,"NY00628974","NY00628974_01","400","400","475","Anitápolis, Palhoça","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414436' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","629040","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","L. M. Nascimento",NA,NA,NA,"A. G. d. Silva","1999","08","17","Brazil","Pernambuco","Brejo da Madre de Deus","-36.4","-8.18",NA,NA,"NY00629040","NY00629040_01","565","960","115","Mata do Malhada","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414441' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","629041","PreservedSpecimen","Plantae","Malvaceae","Triumfetta","abutiloides","Triumfetta abutiloides","A.St.-Hil.","L. M. Nascimento",NA,NA,NA,"L. M. Nascimento","2000","07","23","Brazil","Pernambuco","Brejo da Madre de Deus","-36.38","-8.2075",NA,NA,"NY00629041","NY00629041_01","920","1030","424","Mata do Bituri","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414440' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
