"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","previousCatalogNumber"
"1","2021-03-30 12:50:32-03","EAO","IAN","14006","PreservedSpecimen","Plantae","Dicotiledônea","Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Saint-Hilaire","s.n.","Southern America","Brasil","IAN014006","IAN014006 IAN014006_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:58-03","PUCPR","HUCP","7943","S","Plantae","Eudicotiledonea","Violaceae","Viola","gracillima","Viola gracillima","A. St. Hil.","Creplive, M","002",NA,"Brasil","HUCP00019389","HUCP00019389","Jaszczerski, JC","1983","08","21","Paraná","Colombo","Colônia Faria","-49.2242012023926","-25.2917003631592","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:58-03","PUCPR","HUCP","7945","S","Plantae","Eudicotiledonea","Violaceae","Viola","gracillima","Viola gracillima","A. St. Hil.","Almeida, J","019",NA,"Brasil","HUCP00019296","HUCP00019296","Jaszczerski, JC","1985","10","14","Paraná","Curitiba","Parque Barreirinha","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:25:58-03","PUCPR","HUCP","7944","S","Plantae","Eudicotiledonea","Violaceae","Viola","gracillima","Viola gracillima","A. St. Hil.","Radunz, AC","005",NA,"Brasil",NA,NA,"Jaszczerski, JC","1984","09","15","Santa Catarina","Mafra","Fazenda Rancho Queimado","-49.8053016662598","-26.111400604248","66490","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:58:46-03","NBC","NL-BOTANY","L.2448472","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Sellow F",NA,"Southern America","Brazil","NL-L2448472","NL-L2448472",NA,NA,NA,NA,NA,NA,"Brasilia.",NA,NA,NA,NA,"Magnoliopsidae","Malpighiales","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2448472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:20:46-03","ESALQ","ESA","32420","PreservedSpecimen","Plantae","Magnoliophyta","Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Gehrt, A.",NA,NA,"Brasil","ESA032420",NA,"Hoehne, W.","1930","06","18","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:58-03","MN","R","7400","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Glaziou, A.F.M.","8263 a",NA,"Brasil","R000007400","R000007400_001","Ballard Jr., H.E.","1876","01","07","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-25 09:28:15-03","UNICAMP","UEC","65549","S","Plantae","Magnoliopsida","Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Stehmann, JR; Vieira, AOS","1286",NA,"Brazil","UEC017249","UEC017249","Souza, JP","1994","01","18","Santa Catarina","Urubici","Morro da Igreja.","-49.812778","-28.220778",NA,NA,NA,NA,"Erva até 10cm; pétalas azuladas.; Campo úmido.","2011","09","09","-49.812778","-28.220778","1770","1770",NA,NA,NA,NA
"9","2020-12-21 16:47:28-03","MBM","MBM","5321","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Tessmann, G.; Frenzel, A.; Frenzel, A.","300","Southern America","Brazil","MBM005321","MBM005321","Souza, J.P.","1950","12","22","Paraná","São José dos Pinhais","Vale do Iguaçu","-49.2064018249512","-25.5347003936768","45291","auto",NA,NA,"= 80575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:47:28-03","MBM","MBM","80575","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Tessmann, G.; Frenzel, A.; Frenzel, A.","300","Southern America","Brazil","MBM080575","MBM080575","Souza, J.P.","1950","12","22","Paraná","São José dos Pinhais","Vale do Iguaçu","-49.2064018249512","-25.5347003936768","45291","auto",NA,NA,"= 5321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
