"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","imagecode","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","order","continentOcean","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2020-06-29 11:29:42-03","UFRJ","RFA","31100","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B.Sm.) Leme","T. S. Coser; T. Wendt","2008","10","21","L. O. F. Sousa; T. Wendt; G. K. Brown","476","2003","10","20","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, trilha para o Pico do Papagaio","-44.3180999755859","-23.0067005157471","32988","Erva epífita, folhas cartáceas discolores verdes, infrutescência verde","RFA51250","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:15-03","MN","R","225045","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme","Neves, B.F.S.","2015","09",NA,"Neves, B.F.S. 295; Jacques, S.S.A.",NA,"2015","04","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.534972","-19.967056",NA,NA,"R010013511",NA,"40°32'05,9''W","19°58'01,4''S","R010013511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:15-03","MN","R","233074","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme","Moura, R.","2014","01",NA,"Seidel, A.","B - 1237",NA,NA,NA,"Brasil","Espírito Santo","Santa Maria do Jetibá",NA,NA,NA,NA,NA,"R010044735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:15-03","MN","R","233080","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme","Moura, R.","2014","01",NA,"Seidel, A.","B - 1237",NA,NA,NA,"Brasil","Espírito Santo","Santa Maria do Jetibá",NA,NA,NA,NA,NA,"R010044746,R010044742,R010044747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:15-03","MN","R","233599","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Kessous, I.M.","60","2014","04","02","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010049104","auto",NA,NA,"R010049104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:15-03","MN","R","214484","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Costa, A.F.","832","2005","04","23","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010013514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:15-03","MN","R","214483","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Moura, R.","510","2008","01","15","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010013513","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:15-03","MN","R","214482","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Costa, A.F.","827","2005","04","23","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010013516","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:15-03","MN","R","187001","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Costa, A.F.","512","1995","10","17","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010013515","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:15-03","MN","R","229060","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Kessous, I.M.","63","2014","04","02","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia, Sede. Caminho para o túmulo de Augusto Ruschii.","-40.6002998352051","-19.9356002807617","23813",NA,"R010013510","auto",NA,NA,"R010013510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-07 08:35:15-03","MN","R","229061","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gracilior","Vriesea gracilior","(L.B. Sm.) Leme",NA,NA,NA,NA,"Moura, R.","57","2009","11","24","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha para o túmulo de Augusto Ruschi.","-40.6002998352051","-19.9356002807617","23813",NA,"R010013512","auto",NA,NA,"R010013512 R010013512_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
