"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","barcode","imagecode","coordinatePrecision","geoFlag","class","order"
"1","2019-10-09 11:11:36-03","UFBA","ALCB","106053","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M. Barroso","Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3119","2011","06","27","Southern America","Brasil","Minas Gerais","Diamantina","estrada Sopa - São João da Chapada","-43.702222","-18.197778","-43.702222","-18.197778","1276","1276","até 2m alt., áfilo. Brácteas involucrais verde-castanhas, corola, estilete e pápus creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:36-03","UFBA","ALCB","106111","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M. Barroso","Franco, I; Marques, D; Araújo, IM; Costa, FN","874","2011","08","26","Southern America","Brasil","Minas Gerais","Diamantina","P.E. do Biribiri, Região dos Barris","-43.573333","-18.083333","-43.573333","-18.083333","752","752","ca. 3m alt. em solo arenoso em afloramento rochoso. Invólucro creme-esverdeados. Flores cremes, sem folhas.","Franco, IM","2011","08",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:26:13-03","UNICAMP","UEC","120410","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Semir, J; Mansanares, ME; Belinello, R","01136","2001","06","21",NA,"Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, 2 km do asfalto.","-43.702417","-18.264583","-43.702417","-18.264583","1458","1458","Arbustos virgados até 2 m. Capítulos creme.; Crescendo em pedras.","Souza, FO","2012","01","17","UEC130146","UEC130146",NA,NA,NA,NA
"4","2019-08-20 10:07:30-03","UNICAMP","UEC","137829","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Mansanares, ME; Verola, CF","368","2003","08","17",NA,"Brazil","Minas Gerais","Diamantina","Estrada Guinda - Sopa.","-43.492972","-18.583417","-43.492972","-18.583417",NA,NA,NA,"Souza, FO","2012","01","17","UEC130145","UEC130145",NA,NA,NA,NA
"5","2021-03-01 16:26:13-03","UNICAMP","UEC","182503","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Marques, D; Araújo, IM","257","2011","08","24",NA,"Brazil","Minas Gerais","Diamantina","Parque Estadual do Biribiri. Ponto 6. Sítio do Valtinho.","-43.604944","-18.160528","-43.604944","-18.160528","1217","1217","Árvore, ca. 1,5 m. Brácteas involucrais verdes, papus e corola brancos, estilete bege.; Campo rupestre.",NA,NA,NA,NA,"UEC130143","UEC130143",NA,NA,NA,NA
"6","2021-03-01 16:26:13-03","UNICAMP","UEC","193362","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Monge, M","1517","2013","02","21",NA,"Brazil","Minas Gerais","Diamantina",". Cachoeira sentido afloramento rochoso. &nf;Cerca de 200 m do ponto sentido Portaria","-43.628806","-18.181889","-43.628806","-18.181889",NA,NA,"Arbusto, 40 cm de altura. Folhas novas.; Afloramento rochoso","Monge, M",NA,NA,NA,"UEC155381","UEC155381",NA,NA,NA,NA
"7","2021-03-01 16:26:13-03","UNICAMP","UEC","120463","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Semir, J; Mansanares, ME; Belinello, R","0172","2001","06","19",NA,"Brazil","Minas Gerais","Curvelo","Estrada Curvelo - Diamantina (BR-259), beira da estrada.","-44.4308013916016","-18.7563991546631",NA,NA,NA,NA,"Capítulos creme, arbusto cespitoso.","Souza, FO","2012","01","17","UEC130144","UEC130144","57661","auto",NA,NA
"8","2021-03-01 16:26:13-03","UNICAMP","UEC","89777","S","Plantae","Magnoliopsida","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Souza, VC; Souza, JP; Capellari Jr, L; Scalon, VR","ESA35673","1996","07","06",NA,"Brazil","Minas Gerais","Diamantina","16km de Diamantina em direção a Mendanha","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"Arbusto, ca. 1,5m alt.; filárias verde-claras com margem vinho; flores creme; Campo rupestre","Franco, IM","2014",NA,NA,"UEC093979","UEC093979","101169","auto",NA,NA
"9","2020-12-11 11:33:47-03","UFMG","BHCB","41546","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Duarte, AP","11825","1969","10","12","Southern America","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"De aspecto suigeneris; Rupestre em arenito",NA,"2014",NA,NA,"BHCB008951",NA,"101169","auto",NA,NA
"10","2020-12-11 11:33:47-03","UFMG","BHCB","42940","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Wunderlichia","senae","Wunderlichia senae","Glaz. ex Maguire & G.M.Barroso","Stehmann, JR","2385","1998","08","10","Southern America","Brasil","Minas Gerais","Diamantina","Gouveia. Engenho do Bilia.","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"Arbusto sobre afloramento rochoso, caducifólio.",NA,"2013","10",NA,NA,NA,"101169","auto",NA,NA
