especie,nomes
Cayaponia bonariensis,Cayaponia bonariensis
Cayaponia bonariensis,Cayaponia bonariensis var. dissecta
Cayaponia bonariensis,Trianosperma ficifolia var. genuina
Cayaponia bonariensis,Trianosperma ficifolia var. dissecta
Cayaponia bonariensis,Trianosperma ficifolia var. rigida
Cayaponia bonariensis,Trianosperma ficifolia
Cayaponia bonariensis,Trianosperma hilariana
Cayaponia bonariensis,Bryonia bonariensis
Cayaponia bonariensis,Cayaponia sandia
Cayaponia bonariensis,Trianosperma ficifolia var. βrigida
