especie,nomes
Faramea multiflora,Faramea multiflora
Faramea multiflora,Faramea benensis
Faramea multiflora,Faramea multiflora var. maynensis
Faramea multiflora,Faramea multiflora var. amazonica
Faramea multiflora,Faramea multiflora var. salicifolia
Faramea multiflora,Faramea multiflora var. benensis
Faramea multiflora,Faramea multiflora var. epedunculata
Faramea multiflora,Coffea umbellata
Faramea multiflora,Faramea laxula
Faramea multiflora,Faramea maynensis
Faramea multiflora,Faramea amazonica
Faramea multiflora,Faramea salicifolia
Faramea multiflora,Faramea parviflora
Faramea multiflora,Faramea cuencana
Faramea multiflora,Faramea phyllonomoides
Faramea multiflora,Faramea talamancarum
Faramea multiflora,Psychotria cyanea
Faramea multiflora,Rudgea scandens
Faramea multiflora,Faramea angustifolia
Faramea multiflora,Coussarea multiflora
Faramea multiflora,Faramea egensis
