especie,nomes
Heteranthera reniformis,Heteranthera reniformis
Heteranthera reniformis,Buchosia aquatica
Heteranthera reniformis,Heteranthera reniformis var. conjungens
Heteranthera reniformis,Phrynium reniforme var. acutum
Heteranthera reniformis,Schollera reniformis
Heteranthera reniformis,Heteranthera virginica
Heteranthera reniformis,Leptanthus reniformis
Heteranthera reniformis,Heteranthera acuta
Heteranthera reniformis,Leptanthus peruvianus
Heteranthera reniformis,Heteranthera acuta
Heteranthera reniformis,Leptanthus virginicus
Heteranthera reniformis,Heteranthera pubescens
Heteranthera reniformis,Pontederia azurea
Heteranthera reniformis,Heterandra reniformis
Heteranthera reniformis,Phrynium reniforme
