especie,nomes
Pouteria psammophila,Pouteria psammophila
Pouteria psammophila,Pouteria crassinervia
Pouteria psammophila,Pouteria psammophila var. xestophylla
Pouteria psammophila,Lucuma psammophila var. xestophylla
Pouteria psammophila,Pouteria psammophila var. typica
Pouteria psammophila,Achras ferruginea
Pouteria psammophila,Guapeba nitida
Pouteria psammophila,Labatia psammophila
Pouteria psammophila,Guapeba psammophila
Pouteria psammophila,Lucuma nitida
Pouteria psammophila,Lucuma psammophila
Pouteria psammophila,Pseudolabatia psammophila
Pouteria psammophila,Sapota ferruginea
Pouteria psammophila,Xantolis psammophila
Pouteria psammophila,Pouteria nitida
